Line,Station,NextStation,TravelTime,Interchange
Blue,Dwarka Sector 21,Dwarka Sector 8,1,No
Blue,Dwarka Sector 8,Dwarka Sector 9,1,No
Blue,Dwarka Sector 9,Dwarka Sector 10,1,No
Blue,Dwarka Sector 10,Dwarka Sector 11,1,No
Blue,Dwarka Sector 11,Dwarka Sector 12,1,No
Blue,Dwarka Sector 12,Dwarka Sector 13,1,No
Blue,Dwarka Sector 13,Dwarka Sector 14,1,No
Blue,Dwarka Sector 14,Dwarka,1,No
Blue,Dwarka,Dwarka Mor,1,No
Blue,Dwarka Mor,Nawada,1,No
Blue,Nawada,Uttam Nagar West,1,No
Blue,Uttam Nagar West,Uttam Nagar East,1,No
Blue,Uttam Nagar East,Janakpuri West,1,No
Blue,Janakpuri West,Janakpuri East,1,Yes
Blue,Janakpuri East,Tilak Nagar,1,No
Blue,Tilak Nagar,Subhash Nagar,1,No
Blue,Subhash Nagar,Tagore Garden,1,No
Blue,Tagore Garden,Rajouri Garden,1,No
Blue,Rajouri Garden,Ramesh Nagar,2,No
Blue,Ramesh Nagar,Moti Nagar,2,No
Blue,Moti Nagar,Kirti Nagar,2,No
Blue,Kirti Nagar,Shadipur,2,No
Blue,Shadipur,Patel Nagar,2,No
Blue,Patel Nagar,Rajendra Place,2,No
Blue,Rajendra Place,Karol Bagh,2,No
Blue,Karol Bagh,Jhandewalan,2,No
Blue,Jhandewalan,R.K. Ashram Marg,2,No
Blue,R.K. Ashram Marg,Rajiv Chowk,2,No
Blue,Rajiv Chowk,Barakhamba Road,2,No
Blue,Barakhamba Road,Mandi House,2,No
Blue,Mandi House,Supreme Court,2,No
Blue,Supreme Court,Indraprastha,2,No
Blue,Indraprastha,Yamuna Bank,3,No
Blue,Yamuna Bank,Akshardham,2,Yes
Blue,Akshardham,Mayur Vihar Phase 1,3,No
Blue,Mayur Vihar Phase 1,Mayur Vihar Ext.,2,No
Blue,Mayur Vihar Ext.,New Ashok Nagar,2,No
Blue,New Ashok Nagar,Noida Sector 15,2,No
Blue,Noida Sector 15,Noida Sector 16,2,No
Blue,Noida Sector 16,Noida Sector 18,2,No
Blue,Noida Sector 18,Botanical Garden,2,No
Blue,Botanical Garden,Golf Course,2,Yes
Blue,Golf Course,Noida City Centre,2,No
Blue,Noida City Centre,Noida Sector 34,2,No
Blue,Noida Sector 34,Noida Sector 52,2,No
Blue,Noida Sector 52,Noida Sector 61,2,No
Blue,Noida Sector 61,Noida Sector 59,2,No
Blue,Noida Sector 59,Noida Sector 62,2,No
Blue,Noida Sector 62,Noida Electronic City,2,No
Blue,Noida Electronic City,End,0,No

Blue2,Yamuna Bank,Laxmi Nagar,2,Yes
Blue2,Laxmi Nagar,Nirman Vihar,2,No
Blue2,Nirman Vihar,Preet Vihar,2,No
Blue2,Preet Vihar,Karkarduma,2,No
Blue2,Karkarduma,Anand Vihar,2,No
Blue2,Anand Vihar,Kaushambi,2,No
Blue2,Kaushambi,Vaishali,2,No
Blue2,Vaishali,End,0,No

Magenta,Janakpuri West,Dabri Mor,3,Yes
Magenta,Dabri Mor,Dashrath Puri,3,No
Magenta,Dashrath Puri,Palam,3,No
Magenta,Palam,Sadar Bazaar Cantonment,3,No
Magenta,Sadar Bazaar Cantonment,Terminal 1-IGI Airport,3,No
Magenta,Terminal 1-IGI Airport,Shankar Vihar,4,No
Magenta,Shankar Vihar,Vasant Vihar,3,No
Magenta,Vasant Vihar,Munirka,3,No
Magenta,Munirka,R.K. Puram,2,No
Magenta,R.K. Puram,IIT Delhi,2,No
Magenta,IIT Delhi,Hauz Khas,2,No
Magenta,Hauz Khas,Panchsheel Park,3,No
Magenta,Panchsheel Park,Chirag Delhi,3,No
Magenta,Chirag Delhi,Greater Kailash,2,No
Magenta,Greater Kailash,Nehru Enclave,2,No
Magenta,Nehru Enclave,Kalkaji Mandir,3,No
Magenta,Kalkaji Mandir,Okhla NSIC,3,No
Magenta,Okhla NSIC,Sukhdev Vihar,2,No
Magenta,Sukhdev Vihar,Jamia Millia Islamia,2,No
Magenta,Jamia Millia Islamia,Okhla Vihar,2,No
Magenta,Okhla Vihar,Jasola Vihar Shaheen Bagh,2,No
Magenta,Jasola Vihar Shaheen Bagh,Kalindi Kunj,3,No
Magenta,Kalindi Kunj,Okhla Bird Sanctuary,3,No
Magenta,Okhla Bird Sanctuary,Botanical Garden,3,No
Magenta,Botanical Garden,End,0,Yes

Red,Shaheed Sthal (New Bus Adda),Hindon River,3,No
Red,Hindon River,Arthala,3,No
Red,Arthala,Mohan Nagar,3,No
Red,Mohan Nagar,Shyam Park,3,No
Red,Shyam Park,Major Mohit Sharma,3,No
Red,Major Mohit Sharma,Raj Bagh,3,No
Red,Raj Bagh,Shaheed Nagar,3,No
Red,Shaheed Nagar,Dilshad Garden,3,No
Red,Dilshad Garden,Jhilmil,3,No
Red,Jhilmil,Mansarovar Park,3,No
Red,Mansarovar Park,Shahdara,3,No
Red,Shahdara,Welcome,3,No
Red,Welcome,Seelampur,3,Yes
Red,Seelampur,Shastri Park,3,No
Red,Shastri Park,Kashmere Gate,3,No
Red,Kashmere Gate,Tis Hazari,3,Yes
Red,Tis Hazari,Pul Bangash,3,No
Red,Pul Bangash,Pratap Nagar,3,No
Red,Pratap Nagar,Shastri Nagar,3,No
Red,Shastri Nagar,Inderlok,3,No
Red,Inderlok,Kanhaiya Nagar,3,Yes
